,ay_start,shs_available,total_elementary,total_hs,total_shs,total_students,prev_total_elementary,prev_total_hs,prev_total_shs,prev_total_students
ay_start,1.0,0.867,-0.022,0.051,0.507,0.038,-0.015,0.048,0.505,0.039
shs_available,0.867,1.0,-0.025,0.045,0.532,0.037,-0.017,0.038,0.444,0.03
total_elementary,-0.022,-0.025,1.0,0.972,0.317,0.992,0.999,0.971,0.267,0.991
total_hs,0.051,0.045,0.972,1.0,0.439,0.991,0.974,0.999,0.387,0.991
total_shs,0.507,0.532,0.317,0.439,1.0,0.421,0.348,0.459,0.94,0.44
total_students,0.038,0.037,0.992,0.991,0.421,1.0,0.993,0.99,0.369,0.999
prev_total_elementary,-0.015,-0.017,0.999,0.974,0.348,0.993,1.0,0.973,0.28,0.993
prev_total_hs,0.048,0.038,0.971,0.999,0.459,0.99,0.973,1.0,0.391,0.99
prev_total_shs,0.505,0.444,0.267,0.387,0.94,0.369,0.28,0.391,1.0,0.377
prev_total_students,0.039,0.03,0.991,0.991,0.44,0.999,0.993,0.99,0.377,1.0
